"roi_name","site","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release"
"arsltarmdcrresw_AG_1000","arsltarmdcrresw",39.0549,-75.7532,"AG",TRUE,TRUE,TRUE,1000,"WL vegetation in foreground of FOV.","2019-03-18","2022-12-01","3.7","0.0","https://phenocam.nau.edu/webcam/roi/arsltarmdcrresw/AG_1000/","https://phenocam.nau.edu/data/archive/arsltarmdcrresw/ROI/arsltarmdcrresw_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrresw/ROI/arsltarmdcrresw_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarmdcrresw/ROI/arsltarmdcrresw_AG_1000_3day.csv",NA
"arsltarucbec1_AG_1000","arsltarucbec1",40.7537,-78.0057,"AG",TRUE,TRUE,TRUE,1000,"AG veg type in FOV","2019-05-17","2022-12-01","3.5","2.0","https://phenocam.nau.edu/webcam/roi/arsltarucbec1/AG_1000/","https://phenocam.nau.edu/data/archive/arsltarucbec1/ROI/arsltarucbec1_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarucbec1/ROI/arsltarucbec1_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarucbec1/ROI/arsltarucbec1_AG_1000_3day.csv",NA
"arsltarucbec2_AG_1000","arsltarucbec2",40.7558,-77.9999,"AG",TRUE,TRUE,TRUE,1000,"Veg type in most of FOV. DB in background.","2019-06-13","2022-12-01","3.4","1.0","https://phenocam.nau.edu/webcam/roi/arsltarucbec2/AG_1000/","https://phenocam.nau.edu/data/archive/arsltarucbec2/ROI/arsltarucbec2_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsltarucbec2/ROI/arsltarucbec2_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsltarucbec2/ROI/arsltarucbec2_AG_1000_3day.csv",NA
"arsmnswanlake1_AG_1000","arsmnswanlake1",45.684508,-95.799703,"AG",TRUE,TRUE,TRUE,1000,"entire AG land in FOV","2015-10-02","2022-12-01","7.2","0.0","https://phenocam.nau.edu/webcam/roi/arsmnswanlake1/AG_1000/","https://phenocam.nau.edu/data/archive/arsmnswanlake1/ROI/arsmnswanlake1_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsmnswanlake1/ROI/arsmnswanlake1_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsmnswanlake1/ROI/arsmnswanlake1_AG_1000_3day.csv",NA
"arsmorris1_AG_1000","arsmorris1",45.6167,-96.1269,"AG",TRUE,TRUE,TRUE,1000,"AG field","2017-07-25","2022-11-28","5.4","0.0","https://phenocam.nau.edu/webcam/roi/arsmorris1/AG_1000/","https://phenocam.nau.edu/data/archive/arsmorris1/ROI/arsmorris1_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsmorris1/ROI/arsmorris1_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsmorris1/ROI/arsmorris1_AG_1000_3day.csv",NA
"arsmorris2_AG_1000","arsmorris2",45.627,-96.127,"AG",TRUE,TRUE,TRUE,1000,"AG field","2017-07-25","2022-11-28","5.3","0.0","https://phenocam.nau.edu/webcam/roi/arsmorris2/AG_1000/","https://phenocam.nau.edu/data/archive/arsmorris2/ROI/arsmorris2_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsmorris2/ROI/arsmorris2_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsmorris2/ROI/arsmorris2_AG_1000_3day.csv",NA
"arsmorris3_AG_1000","arsmorris3",45.6091,-96.1265,"AG",TRUE,TRUE,TRUE,1000,"agricultural field","2020-04-28","2022-11-28","2.6","1.0","https://phenocam.nau.edu/webcam/roi/arsmorris3/AG_1000/","https://phenocam.nau.edu/data/archive/arsmorris3/ROI/arsmorris3_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsmorris3/ROI/arsmorris3_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsmorris3/ROI/arsmorris3_AG_1000_3day.csv",NA
"arsope3ltar_AG_1000","arsope3ltar",39.0309,-76.8442,"AG",TRUE,TRUE,TRUE,1000,"entire AG land in FOV","2017-04-11","2022-12-01","5.5","3.0","https://phenocam.nau.edu/webcam/roi/arsope3ltar/AG_1000/","https://phenocam.nau.edu/data/archive/arsope3ltar/ROI/arsope3ltar_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsope3ltar/ROI/arsope3ltar_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsope3ltar/ROI/arsope3ltar_AG_1000_3day.csv",NA
"arsspltarc2_AG_1000","arsspltarc2",35.5685,-98.0558,"AG",FALSE,TRUE,TRUE,1000,"Managed field","2018-02-10","2018-10-05","0.6","6.0","https://phenocam.nau.edu/webcam/roi/arsspltarc2/AG_1000/","https://phenocam.nau.edu/data/archive/arsspltarc2/ROI/arsspltarc2_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/arsspltarc2/ROI/arsspltarc2_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/arsspltarc2/ROI/arsspltarc2_AG_1000_3day.csv",NA
"ashbottoms_AG_1000","ashbottoms",38.8668,-96.9028,"AG",FALSE,TRUE,TRUE,1000,"entire AG land in FOV","2015-08-18","2017-01-14","1.4","3.0","https://phenocam.nau.edu/webcam/roi/ashbottoms/AG_1000/","https://phenocam.nau.edu/data/archive/ashbottoms/ROI/ashbottoms_AG_1000_roistats.csv","https://phenocam.nau.edu/data/archive/ashbottoms/ROI/ashbottoms_AG_1000_1day.csv","https://phenocam.nau.edu/data/archive/ashbottoms/ROI/ashbottoms_AG_1000_3day.csv",NA
